tissue_id	label
tissue_922	Breast
tissue_406	Cervix
tissue_122	Lymphoid Lineage
tissue_1071	Prostate
tissue_559	Stomach and Esophagus
tissue_656	Breast
tissue_1001	Lymphoid Lineage
tissue_964	Lung
tissue_1000	Breast
tissue_499	Colon and Rectum
tissue_579	NEC of Lung or Other Organs
tissue_226	Plasma Cell Lineage
tissue_1003	Head and Neck
tissue_176	Cervix
tissue_467	Breast
tissue_835	Colon and Rectum
tissue_1007	Breast
tissue_847	Head and Neck
tissue_650	Colon and Rectum
tissue_938	Breast
tissue_529	Lymphoid Lineage
tissue_852	Prostate
tissue_163	Prostate
tissue_982	Lymphoid Lineage
tissue_563	Ovary
tissue_185	Breast
tissue_649	Stomach and Esophagus
tissue_681	Breast
tissue_712	Lung
tissue_140	Breast
tissue_457	Stomach and Esophagus
tissue_1044	Bone and Soft Tissue
tissue_552	Breast
tissue_889	Prostate
tissue_263	Stomach and Esophagus
tissue_446	Lymphoid Lineage
tissue_403	Uterus
tissue_899	Kidney
tissue_985	Bladder and Urothelial Tract
tissue_933	Prostate
tissue_493	Lung
tissue_617	Uterus
tissue_879	NEC of Lung or Other Organs
tissue_601	Lymphoid Lineage
tissue_567	Uterus
tissue_452	Colon and Rectum
tissue_75	Uterus
tissue_754	Breast
tissue_966	Pancreas and Gallbladder
tissue_676	Uterus
tissue_730	Melanocytic Lineage
tissue_788	Lymphoid Lineage
tissue_108	Stomach and Esophagus
tissue_558	Uterus
tissue_5	Liver and Bile Duct
tissue_954	NEC of Lung or Other Organs
tissue_85	Lymphoid Lineage
tissue_64	Bladder and Urothelial Tract
tissue_35	Lymphoid Lineage
tissue_752	Lung
tissue_1035	Lymphoid Lineage
tissue_586	Breast
tissue_576	Stomach and Esophagus
tissue_1005	Lung
tissue_112	Cervix
tissue_571	Lung
tissue_800	Ovary
tissue_939	Lymphoid Lineage
tissue_118	Breast
tissue_1041	Breast
tissue_675	Lymphoid Lineage
tissue_463	Colon and Rectum
tissue_865	Uterus
tissue_472	NEC of Lung or Other Organs
tissue_54	Kidney
tissue_203	Breast
tissue_329	Pancreas and Gallbladder
tissue_401	Breast
tissue_927	Ovary
tissue_1069	Bladder and Urothelial Tract
tissue_538	Bone and Soft Tissue
tissue_968	Bladder and Urothelial Tract
tissue_514	Bladder and Urothelial Tract
tissue_687	Lymphoid Lineage
tissue_442	Anus
tissue_60	Stomach and Esophagus
tissue_106	Prostate
tissue_545	Stomach and Esophagus
tissue_195	Bladder and Urothelial Tract
tissue_421	Lung
tissue_1037	Uterus
tissue_1108	Kidney
tissue_375	Colon and Rectum
tissue_384	Ovary
tissue_1070	Breast
tissue_348	Head and Neck
tissue_794	Kidney
tissue_639	Prostate
tissue_625	Liver and Bile Duct
tissue_569	Anus
tissue_246	Ovary
tissue_821	Prostate
tissue_1058	Lymphoid Lineage
tissue_433	NEC of Lung or Other Organs
tissue_239	Lymphoid Lineage
tissue_732	Prostate
tissue_844	NEC of Lung or Other Organs
tissue_455	Lung
tissue_655	Breast
tissue_580	Ovary
tissue_1026	Melanocytic Lineage
