label_w_size	n	region_size_mb
Colon and Rectum (N=84)	2894	31.291716
Colon and Rectum (N=84)	3117	31.291716
Colon and Rectum (N=84)	24945	31.291716
Colon and Rectum (N=84)	2047	31.291716
Colon and Rectum (N=84)	8506	31.291716
Colon and Rectum (N=84)	6591	31.291716
Colon and Rectum (N=84)	3249	31.291716
Colon and Rectum (N=84)	3991	31.291716
Colon and Rectum (N=84)	3853	31.291716
Colon and Rectum (N=84)	3548	31.291716
Colon and Rectum (N=84)	3129	31.291716
Colon and Rectum (N=84)	4029	31.291716
Colon and Rectum (N=84)	21386	31.291716
Colon and Rectum (N=84)	2729	31.291716
Colon and Rectum (N=84)	2625	31.291716
Colon and Rectum (N=84)	1589	31.291716
Colon and Rectum (N=84)	2695	31.291716
Colon and Rectum (N=84)	3352	31.291716
Colon and Rectum (N=84)	5664	31.291716
Colon and Rectum (N=84)	1039	31.291716
Colon and Rectum (N=84)	1556	31.291716
Colon and Rectum (N=84)	1297	31.291716
Colon and Rectum (N=84)	1198	31.291716
Colon and Rectum (N=84)	1108	31.291716
Colon and Rectum (N=84)	18402	31.291716
Colon and Rectum (N=84)	7370	31.291716
Colon and Rectum (N=84)	3543	31.291716
Colon and Rectum (N=84)	1991	31.291716
Colon and Rectum (N=84)	3593	31.291716
Colon and Rectum (N=84)	23440	31.291716
Colon and Rectum (N=84)	32799	31.291716
Colon and Rectum (N=84)	9249	31.291716
Colon and Rectum (N=84)	3607	31.291716
Colon and Rectum (N=84)	3539	31.291716
Colon and Rectum (N=84)	28635	31.291716
Colon and Rectum (N=84)	6251	31.291716
Colon and Rectum (N=84)	5641	31.291716
Colon and Rectum (N=84)	3214	31.291716
Colon and Rectum (N=84)	8931	31.291716
Colon and Rectum (N=84)	2967	31.291716
Colon and Rectum (N=84)	4063	31.291716
Colon and Rectum (N=84)	5381	31.291716
Colon and Rectum (N=84)	5685	31.291716
Colon and Rectum (N=84)	5072	31.291716
Colon and Rectum (N=84)	12547	31.291716
Colon and Rectum (N=84)	8718	31.291716
Colon and Rectum (N=84)	14784	31.291716
Colon and Rectum (N=84)	22351	31.291716
Colon and Rectum (N=84)	7647	31.291716
Colon and Rectum (N=84)	12644	31.291716
Colon and Rectum (N=84)	9202	31.291716
Colon and Rectum (N=84)	27347	31.291716
Head and Neck (N=65)	2815	31.291716
Head and Neck (N=65)	2463	31.291716
Head and Neck (N=65)	2056	31.291716
Head and Neck (N=65)	4953	31.291716
Head and Neck (N=65)	3777	31.291716
Head and Neck (N=65)	1208	31.291716
Head and Neck (N=65)	2503	31.291716
Head and Neck (N=65)	2254	31.291716
Head and Neck (N=65)	1258	31.291716
Head and Neck (N=65)	4610	31.291716
Head and Neck (N=65)	2968	31.291716
Head and Neck (N=65)	2738	31.291716
Head and Neck (N=65)	1612	31.291716
Head and Neck (N=65)	1911	31.291716
Head and Neck (N=65)	1808	31.291716
Head and Neck (N=65)	1859	31.291716
Head and Neck (N=65)	3770	31.291716
Head and Neck (N=65)	2922	31.291716
Head and Neck (N=65)	7847	31.291716
Head and Neck (N=65)	1518	31.291716
Head and Neck (N=65)	3096	31.291716
